key;geo;thema;subthema;prop
GF0104;Cyprus;General public services;Basic research;6
GF0105;Cyprus;General public services;R&D General public services;0
GF0106;Cyprus;General public services;General public services n.e.c.;1
GF0107;Cyprus;General public services;Public debt transactions;22
GF0108;Cyprus;General public services;Transfers of a general character between different levels of government;0
GF0201;Cyprus;Defence;Military defence;18
GF0202;Cyprus;Defence;Civil defence;0
GF0203;Cyprus;Defence;Foreign military aid;1
GF0204;Cyprus;Defence;R&D Defence;0
GF0205;Cyprus;Defence;Defence n.e.c.;0
GF0301;Cyprus;Public order and safety;Police services;14
GF0302;Cyprus;Public order and safety;Fire-protection services;2
GF0303;Cyprus;Public order and safety;Law courts;2
GF0304;Cyprus;Public order and safety;Prisons;1
GF0305;Cyprus;Public order and safety;R&D Public order and safety;0
GF0306;Cyprus;Public order and safety;Public order and safety n.e.c.;0
GF0401;Cyprus;Economic affairs;General economic, commercial and labour affairs;33
GF0402;Cyprus;Economic affairs;Agriculture, forestry, fishing and hunting;6
GF0403;Cyprus;Economic affairs;Fuel and energy;2
GF0404;Cyprus;Economic affairs;Mining, manufacturing and construction;0
GF0405;Cyprus;Economic affairs;Transport;7
GF0406;Cyprus;Economic affairs;Communication;1
GF0407;Cyprus;Economic affairs;Other industries;4
GF0408;Cyprus;Economic affairs;R&D Economic affairs;1
GF0409;Cyprus;Economic affairs;Economic affairs n.e.c.;0
GF0501;Cyprus;Environmental protection;Waste management;2
GF0502;Cyprus;Environmental protection;Waste water management;1
GF0503;Cyprus;Environmental protection;Pollution abatement;0
GF0504;Cyprus;Environmental protection;Protection of biodiversity and landscape;0
GF0505;Cyprus;Environmental protection;R&D Environmental protection;0
GF0506;Cyprus;Environmental protection;Environmental protection n.e.c.;0
GF0601;Cyprus;Housing and community amenities;Housing development;1
GF0602;Cyprus;Housing and community amenities;Community development;7
GF0603;Cyprus;Housing and community amenities;Water supply;6
GF0604;Cyprus;Housing and community amenities;Street lighting;0
GF0605;Cyprus;Housing and community amenities;R&D Housing and community amenities;0
GF0606;Cyprus;Housing and community amenities;Housing and community amenities n.e.c.;1
GF0701;Cyprus;Health;Medical products, appliances and equipment;10
GF0702;Cyprus;Health;Outpatient services;15
GF0703;Cyprus;Health;Hospital services;32
GF0704;Cyprus;Health;Public health services;1
GF0705;Cyprus;Health;R&D Health;0
GF0706;Cyprus;Health;Health n.e.c.;0
GF0801;Cyprus;Recreation, culture and religion;Recreational and sporting services;4
GF0802;Cyprus;Recreation, culture and religion;Cultural services;2
GF0803;Cyprus;Recreation, culture and religion;Broadcasting and publishing services;2
GF0804;Cyprus;Recreation, culture and religion;Religious and other community services;1
GF0805;Cyprus;Recreation, culture and religion;R&D Recreation, culture and religion;0
GF0806;Cyprus;Recreation, culture and religion;Recreation, culture and religion n.e.c.;0
GF0901;Cyprus;Education;Pre-primary and primary education;20
GF0902;Cyprus;Education;Secondary education;21
GF0903;Cyprus;Education;Post-secondary non-tertiary education;0
GF0904;Cyprus;Education;Tertiary education;10
GF0905;Cyprus;Education;Education not definable by level;4
GF0906;Cyprus;Education;Subsidiary services to education;3
GF0907;Cyprus;Education;R&D Education;0
GF0908;Cyprus;Education;Education n.e.c.;0
GF1001;Cyprus;Social protection;Sickness and disability;5
GF1002;Cyprus;Social protection;Old age;66
GF1003;Cyprus;Social protection;Survivors;15
GF1004;Cyprus;Social protection;Family and children;30
GF1005;Cyprus;Social protection;Unemployment;7
GF1006;Cyprus;Social protection;Housing;0
GF1007;Cyprus;Social protection;Social exclusion n.e.c.;13
GF1008;Cyprus;Social protection;R&D Social protection;0
GF1009;Cyprus;Social protection;Social protection n.e.c.;1
GF0101;Czechia;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;32
GF0102;Czechia;General public services;Foreign economic aid;0
GF0103;Czechia;General public services;General services;1
GF0104;Czechia;General public services;Basic research;7
GF0105;Czechia;General public services;R&D General public services;0
GF0106;Czechia;General public services;General public services n.e.c.;2
GF0107;Czechia;General public services;Public debt transactions;8
GF0108;Czechia;General public services;Transfers of a general character between different levels of government;0
GF0201;Czechia;Defence;Military defence;9
GF0202;Czechia;Defence;Civil defence;0
GF0203;Czechia;Defence;Foreign military aid;0
GF0204;Czechia;Defence;R&D Defence;0
GF0205;Czechia;Defence;Defence n.e.c.;1
GF0301;Czechia;Public order and safety;Police services;10
GF0302;Czechia;Public order and safety;Fire-protection services;3
GF0303;Czechia;Public order and safety;Law courts;3
GF0304;Czechia;Public order and safety;Prisons;2
GF0305;Czechia;Public order and safety;R&D Public order and safety;0
GF0306;Czechia;Public order and safety;Public order and safety n.e.c.;3
GF0401;Czechia;Economic affairs;General economic, commercial and labour affairs;10
GF0402;Czechia;Economic affairs;Agriculture, forestry, fishing and hunting;5
GF0403;Czechia;Economic affairs;Fuel and energy;9
GF0404;Czechia;Economic affairs;Mining, manufacturing and construction;0
GF0405;Czechia;Economic affairs;Transport;41
GF0406;Czechia;Economic affairs;Communication;0
GF0407;Czechia;Economic affairs;Other industries;3
GF0408;Czechia;Economic affairs;R&D Economic affairs;3
GF0409;Czechia;Economic affairs;Economic affairs n.e.c.;2
GF0501;Czechia;Environmental protection;Waste management;3
GF0502;Czechia;Environmental protection;Waste water management;3
GF0503;Czechia;Environmental protection;Pollution abatement;0
GF0504;Czechia;Environmental protection;Protection of biodiversity and landscape;2
GF0505;Czechia;Environmental protection;R&D Environmental protection;0
GF0506;Czechia;Environmental protection;Environmental protection n.e.c.;0
GF0601;Czechia;Housing and community amenities;Housing development;2
GF0602;Czechia;Housing and community amenities;Community development;2
GF0603;Czechia;Housing and community amenities;Water supply;1
GF0604;Czechia;Housing and community amenities;Street lighting;1
GF0605;Czechia;Housing and community amenities;R&D Housing and community amenities;0
GF0606;Czechia;Housing and community amenities;Housing and community amenities n.e.c.;0
GF0701;Czechia;Health;Medical products, appliances and equipment;9
GF0702;Czechia;Health;Outpatient services;18
GF0703;Czechia;Health;Hospital services;43
GF0704;Czechia;Health;Public health services;18
GF0705;Czechia;Health;R&D Health;1
GF0706;Czechia;Health;Health n.e.c.;2
GF0801;Czechia;Recreation, culture and religion;Recreational and sporting services;5
GF0802;Czechia;Recreation, culture and religion;Cultural services;7
GF0803;Czechia;Recreation, culture and religion;Broadcasting and publishing services;2
GF0804;Czechia;Recreation, culture and religion;Religious and other community services;0
GF0805;Czechia;Recreation, culture and religion;R&D Recreation, culture and religion;0
GF0806;Czechia;Recreation, culture and religion;Recreation, culture and religion n.e.c.;1
GF0901;Czechia;Education;Pre-primary and primary education;13
GF0902;Czechia;Education;Secondary education;23
GF0903;Czechia;Education;Post-secondary non-tertiary education;0
GF0904;Czechia;Education;Tertiary education;8
GF0905;Czechia;Education;Education not definable by level;1
GF0906;Czechia;Education;Subsidiary services to education;2
GF0907;Czechia;Education;R&D Education;3
GF0908;Czechia;Education;Education n.e.c.;1
GF1001;Czechia;Social protection;Sickness and disability;27
GF1002;Czechia;Social protection;Old age;82
GF1003;Czechia;Social protection;Survivors;6
GF1004;Czechia;Social protection;Family and children;19
GF1005;Czechia;Social protection;Unemployment;2
GF1006;Czechia;Social protection;Housing;2
GF1007;Czechia;Social protection;Social exclusion n.e.c.;4
GF1008;Czechia;Social protection;R&D Social protection;0
GF1009;Czechia;Social protection;Social protection n.e.c.;2
GF0101;Denmark;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;18
GF0102;Denmark;General public services;Foreign economic aid;8
GF0103;Denmark;General public services;General services;4
GF0104;Denmark;General public services;Basic research;15
GF0105;Denmark;General public services;R&D General public services;0
GF0106;Denmark;General public services;General public services n.e.c.;11
GF0107;Denmark;General public services;Public debt transactions;6
GF0108;Denmark;General public services;Transfers of a general character between different levels of government;0
GF0201;Denmark;Defence;Military defence;11
GF0202;Denmark;Defence;Civil defence;0
GF0203;Denmark;Defence;Foreign military aid;0
GF0204;Denmark;Defence;R&D Defence;0
GF0205;Denmark;Defence;Defence n.e.c.;0
GF0301;Denmark;Public order and safety;Police services;6
GF0302;Denmark;Public order and safety;Fire-protection services;1
GF0303;Denmark;Public order and safety;Law courts;2
GF0304;Denmark;Public order and safety;Prisons;2
GF0305;Denmark;Public order and safety;R&D Public order and safety;0
GF0306;Denmark;Public order and safety;Public order and safety n.e.c.;0
GF0401;Denmark;Economic affairs;General economic, commercial and labour affairs;21
GF0402;Denmark;Economic affairs;Agriculture, forestry, fishing and hunting;3
GF0403;Denmark;Economic affairs;Fuel and energy;4
GF0404;Denmark;Economic affairs;Mining, manufacturing and construction;0
GF0405;Denmark;Economic affairs;Transport;21
GF0406;Denmark;Economic affairs;Communication;0
GF0407;Denmark;Economic affairs;Other industries;1
GF0408;Denmark;Economic affairs;R&D Economic affairs;1
GF0409;Denmark;Economic affairs;Economic affairs n.e.c.;0
GF0501;Denmark;Environmental protection;Waste management;0
GF0502;Denmark;Environmental protection;Waste water management;0
GF0503;Denmark;Environmental protection;Pollution abatement;0
GF0504;Denmark;Environmental protection;Protection of biodiversity and landscape;2
GF0505;Denmark;Environmental protection;R&D Environmental protection;0
GF0506;Denmark;Environmental protection;Environmental protection n.e.c.;1
GF0601;Denmark;Housing and community amenities;Housing development;1
GF0602;Denmark;Housing and community amenities;Community development;0
GF0603;Denmark;Housing and community amenities;Water supply;0
GF0604;Denmark;Housing and community amenities;Street lighting;0
GF0605;Denmark;Housing and community amenities;R&D Housing and community amenities;0
GF0606;Denmark;Housing and community amenities;Housing and community amenities n.e.c.;0
GF0701;Denmark;Health;Medical products, appliances and equipment;6
GF0702;Denmark;Health;Outpatient services;12
GF0703;Denmark;Health;Hospital services;62
GF0704;Denmark;Health;Public health services;2
GF0705;Denmark;Health;R&D Health;2
GF0706;Denmark;Health;Health n.e.c.;5
GF0801;Denmark;Recreation, culture and religion;Recreational and sporting services;4
GF0802;Denmark;Recreation, culture and religion;Cultural services;6
GF0803;Denmark;Recreation, culture and religion;Broadcasting and publishing services;2
GF0804;Denmark;Recreation, culture and religion;Religious and other community services;4
GF0805;Denmark;Recreation, culture and religion;R&D Recreation, culture and religion;0
GF0806;Denmark;Recreation, culture and religion;Recreation, culture and religion n.e.c.;0
GF0901;Denmark;Education;Pre-primary and primary education;29
GF0902;Denmark;Education;Secondary education;16
GF0903;Denmark;Education;Post-secondary non-tertiary education;0
GF0904;Denmark;Education;Tertiary education;16
GF0905;Denmark;Education;Education not definable by level;1
GF0906;Denmark;Education;Subsidiary services to education;1
GF0907;Denmark;Education;R&D Education;0
GF0908;Denmark;Education;Education n.e.c.;1
GF1001;Denmark;Social protection;Sickness and disability;46
GF1002;Denmark;Social protection;Old age;85
GF1003;Denmark;Social protection;Survivors;0
GF1004;Denmark;Social protection;Family and children;44
GF1005;Denmark;Social protection;Unemployment;21
GF1006;Denmark;Social protection;Housing;7
GF1007;Denmark;Social protection;Social exclusion n.e.c.;16
GF1008;Denmark;Social protection;R&D Social protection;0
GF1009;Denmark;Social protection;Social protection n.e.c.;5
GF0101;Estonia;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;23
GF0102;Estonia;General public services;Foreign economic aid;2
GF0103;Estonia;General public services;General services;9
GF0104;Estonia;General public services;Basic research;5
GF0105;Estonia;General public services;R&D General public services;0
GF0106;Estonia;General public services;General public services n.e.c.;0
GF0107;Estonia;General public services;Public debt transactions;1
GF0108;Estonia;General public services;Transfers of a general character between different levels of government;0
GF0201;Estonia;Defence;Military defence;24
GF0202;Estonia;Defence;Civil defence;0
GF0203;Estonia;Defence;Foreign military aid;0
GF0204;Estonia;Defence;R&D Defence;0
GF0205;Estonia;Defence;Defence n.e.c.;0
GF0301;Estonia;Public order and safety;Police services;11
GF0302;Estonia;Public order and safety;Fire-protection services;3
GF0303;Estonia;Public order and safety;Law courts;3
GF0304;Estonia;Public order and safety;Prisons;2
GF0305;Estonia;Public order and safety;R&D Public order and safety;0
GF0306;Estonia;Public order and safety;Public order and safety n.e.c.;1
GF0401;Estonia;Economic affairs;General economic, commercial and labour affairs;17
GF0402;Estonia;Economic affairs;Agriculture, forestry, fishing and hunting;4
GF0403;Estonia;Economic affairs;Fuel and energy;1
GF0404;Estonia;Economic affairs;Mining, manufacturing and construction;0
GF0405;Estonia;Economic affairs;Transport;31
GF0406;Estonia;Economic affairs;Communication;0
GF0407;Estonia;Economic affairs;Other industries;2
GF0408;Estonia;Economic affairs;R&D Economic affairs;2
GF0409;Estonia;Economic affairs;Economic affairs n.e.c.;1
GF0501;Estonia;Environmental protection;Waste management;3
GF0502;Estonia;Environmental protection;Waste water management;1
GF0503;Estonia;Environmental protection;Pollution abatement;1
GF0504;Estonia;Environmental protection;Protection of biodiversity and landscape;1
GF0505;Estonia;Environmental protection;R&D Environmental protection;1
