geo;code;thema;subthema;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
European Union - 27 countries (from 2020);GF0404;Economic affairs;Mining, manufacturing and construction;2;2;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2
European Union - 27 countries (from 2020);GF0405;Economic affairs;Transport;20;20;21;21;22;23;21;22;23;23;22;21;21;21;21;20;20;20;20;23
European Union - 27 countries (from 2020);GF0406;Economic affairs;Communication;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0407;Economic affairs;Other industries;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5
European Union - 27 countries (from 2020);GF0408;Economic affairs;R&D Economic affairs;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4
European Union - 27 countries (from 2020);GF0409;Economic affairs;Economic affairs n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0501;Environmental protection;Waste management;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;3;3;3;3;4
European Union - 27 countries (from 2020);GF0502;Environmental protection;Waste water management;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2
European Union - 27 countries (from 2020);GF0503;Environmental protection;Pollution abatement;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0504;Environmental protection;Protection of biodiversity and landscape;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0505;Environmental protection;R&D Environmental protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0506;Environmental protection;Environmental protection n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0601;Housing and community amenities;Housing development;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1;2;2;2
European Union - 27 countries (from 2020);GF0602;Housing and community amenities;Community development;3;3;4;3;3;3;3;3;4;3;3;3;3;3;2;2;2;2;2;2
European Union - 27 countries (from 2020);GF0603;Housing and community amenities;Water supply;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0604;Housing and community amenities;Street lighting;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0605;Housing and community amenities;R&D Housing and community amenities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0606;Housing and community amenities;Housing and community amenities n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0701;Health;Medical products, appliances and equipment;12;12;12;12;12;12;11;11;13;13;12;12;11;12;12;12;11;11;11;12
European Union - 27 countries (from 2020);GF0702;Health;Outpatient services;19;19;20;20;20;21;20;21;23;23;22;22;23;23;23;23;22;22;23;25
European Union - 27 countries (from 2020);GF0703;Health;Hospital services;27;28;29;29;29;29;29;29;32;32;31;32;32;32;31;31;30;30;30;34
European Union - 27 countries (from 2020);GF0704;Health;Public health services;1;1;1;1;1;1;1;1;2;2;1;1;2;2;1;1;1;2;2;3
European Union - 27 countries (from 2020);GF0705;Health;R&D Health;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0706;Health;Health n.e.c.;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;3;3;3;4
European Union - 27 countries (from 2020);GF0801;Recreation, culture and religion;Recreational and sporting services;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
European Union - 27 countries (from 2020);GF0802;Recreation, culture and religion;Cultural services;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
European Union - 27 countries (from 2020);GF0803;Recreation, culture and religion;Broadcasting and publishing services;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
European Union - 27 countries (from 2020);GF0804;Recreation, culture and religion;Religious and other community services;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0805;Recreation, culture and religion;R&D Recreation, culture and religion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0806;Recreation, culture and religion;Recreation, culture and religion n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0901;Education;Pre-primary and primary education;15;15;16;15;15;15;15;15;16;16;16;15;16;16;16;16;16;16;16;17
European Union - 27 countries (from 2020);GF0902;Education;Secondary education;20;20;20;20;20;19;19;19;20;20;19;19;19;19;18;18;18;18;18;18
European Union - 27 countries (from 2020);GF0903;Education;Post-secondary non-tertiary education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0904;Education;Tertiary education;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
European Union - 27 countries (from 2020);GF0905;Education;Education not definable by level;2;2;2;2;2;2;2;2;2;2;1;1;2;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF0906;Education;Subsidiary services to education;2;2;2;2;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3
European Union - 27 countries (from 2020);GF0907;Education;R&D Education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF0908;Education;Education n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
European Union - 27 countries (from 2020);GF1001;Social protection;Sickness and disability;25;26;27;26;26;25;25;26;28;28;27;28;28;28;28;28;27;27;27;30
European Union - 27 countries (from 2020);GF1002;Social protection;Old age;91;91;94;93;94;93;92;95;103;103;103;105;107;107;106;105;104;104;104;113
European Union - 27 countries (from 2020);GF1003;Social protection;Survivors;17;17;17;17;16;16;15;15;17;16;16;17;17;16;16;16;16;15;15;16
European Union - 27 countries (from 2020);GF1004;Social protection;Family and children;16;16;16;16;16;16;16;16;18;18;17;18;18;18;17;18;18;18;18;20
European Union - 27 countries (from 2020);GF1005;Social protection;Unemployment;16;17;18;18;18;17;15;14;19;18;17;17;17;17;15;15;14;13;13;22
European Union - 27 countries (from 2020);GF1006;Social protection;Housing;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3
European Union - 27 countries (from 2020);GF1007;Social protection;Social exclusion n.e.c.;7;7;7;6;5;6;6;6;6;6;6;6;6;7;8;9;9;8;9;10
European Union - 27 countries (from 2020);GF1008;Social protection;R&D Social protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
European Union - 27 countries (from 2020);GF1009;Social protection;Social protection n.e.c.;4;4;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3
Belgium;GF0101;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;25;27;27;26;26;25;25;24;28;26;26;26;26;24;24;25;21;22;22;25
Belgium;GF0102;General public services;Foreign economic aid;2;2;2;2;2;2;2;3;3;3;4;3;3;3;2;2;2;2;2;3
Belgium;GF0103;General public services;General services;8;9;10;10;11;7;9;10;10;9;10;10;10;10;10;10;11;11;12;13
Belgium;GF0104;General public services;Basic research;8;8;8;8;8;8;8;9;10;11;11;12;12;12;12;12;12;11;11;12
Belgium;GF0105;General public services;R&D General public services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0106;General public services;General public services n.e.c.;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0107;General public services;Public debt transactions;67;60;55;49;45;43;41;41;40;37;37;37;35;34;31;29;26;23;21;21
Belgium;GF0108;General public services;Transfers of a general character between different levels of government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0201;Defence;Military defence;10;10;10;11;10;10;10;10;10;9;9;9;9;9;8;8;7;7;8;9
Belgium;GF0202;Defence;Civil defence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0203;Defence;Foreign military aid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0204;Defence;R&D Defence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0205;Defence;Defence n.e.c.;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0301;Public order and safety;Police services;10;10;10;10;10;10;10;11;11;11;11;11;11;11;10;10;10;10;10;11
Belgium;GF0302;Public order and safety;Fire-protection services;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Belgium;GF0303;Public order and safety;Law courts;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;2;3
Belgium;GF0304;Public order and safety;Prisons;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1
Belgium;GF0305;Public order and safety;R&D Public order and safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0306;Public order and safety;Public order and safety n.e.c.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Belgium;GF0401;Economic affairs;General economic, commercial and labour affairs;16;18;17;18;20;22;24;27;32;33;39;42;35;36;33;33;31;32;32;41
Belgium;GF0402;Economic affairs;Agriculture, forestry, fishing and hunting;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Belgium;GF0403;Economic affairs;Fuel and energy;0;0;0;0;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1
Belgium;GF0404;Economic affairs;Mining, manufacturing and construction;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0405;Economic affairs;Transport;22;22;26;23;51;27;26;27;28;27;28;28;28;31;28;26;27;28;28;30
Belgium;GF0406;Economic affairs;Communication;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Belgium;GF0407;Economic affairs;Other industries;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1
Belgium;GF0408;Economic affairs;R&D Economic affairs;1;1;1;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3
Belgium;GF0409;Economic affairs;Economic affairs n.e.c.;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0501;Environmental protection;Waste management;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;5
Belgium;GF0502;Environmental protection;Waste water management;2;2;2;2;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1
Belgium;GF0503;Environmental protection;Pollution abatement;0;0;1;1;1;1;2;2;3;6;8;9;8;7;6;5;6;6;6;7
Belgium;GF0504;Environmental protection;Protection of biodiversity and landscape;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;1
Belgium;GF0505;Environmental protection;R&D Environmental protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0506;Environmental protection;Environmental protection n.e.c.;2;1;1;1;1;1;1;1;2;1;2;2;2;1;1;1;1;1;1;1
Belgium;GF0601;Housing and community amenities;Housing development;1;2;1;3;2;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
Belgium;GF0602;Housing and community amenities;Community development;2;2;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;1;1;1
Belgium;GF0603;Housing and community amenities;Water supply;1;1;0;0;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0
Belgium;GF0604;Housing and community amenities;Street lighting;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Belgium;GF0605;Housing and community amenities;R&D Housing and community amenities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0606;Housing and community amenities;Housing and community amenities n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0701;Health;Medical products, appliances and equipment;8;8;8;9;9;8;8;9;9;9;9;9;8;8;8;8;8;8;8;8
Belgium;GF0702;Health;Outpatient services;19;19;21;22;22;22;22;25;28;27;27;28;29;29;29;29;29;29;29;31
Belgium;GF0703;Health;Hospital services;34;34;37;35;34;34;34;36;38;38;38;39;40;40;38;36;36;36;35;45
Belgium;GF0704;Health;Public health services;1;1;1;2;2;2;1;1;2;2;2;2;2;2;1;1;1;1;1;2
Belgium;GF0705;Health;R&D Health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0706;Health;Health n.e.c.;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2
Belgium;GF0801;Recreation, culture and religion;Recreational and sporting services;3;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4
Belgium;GF0802;Recreation, culture and religion;Cultural services;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Belgium;GF0803;Recreation, culture and religion;Broadcasting and publishing services;0;2;2;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2
Belgium;GF0804;Recreation, culture and religion;Religious and other community services;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Belgium;GF0805;Recreation, culture and religion;R&D Recreation, culture and religion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0806;Recreation, culture and religion;Recreation, culture and religion n.e.c.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1
Belgium;GF0901;Education;Pre-primary and primary education;18;19;19;18;19;18;18;19;19;19;20;20;21;20;20;20;20;20;20;21
Belgium;GF0902;Education;Secondary education;24;24;24;23;23;23;23;24;25;25;25;25;25;25;25;25;24;24;24;25
Belgium;GF0903;Education;Post-secondary non-tertiary education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0904;Education;Tertiary education;8;8;8;7;7;7;7;7;9;9;10;10;10;9;9;9;9;9;9;9
Belgium;GF0905;Education;Education not definable by level;4;4;4;5;5;5;5;4;5;4;5;5;5;6;6;5;6;6;5;6
Belgium;GF0906;Education;Subsidiary services to education;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2
Belgium;GF0907;Education;R&D Education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF0908;Education;Education n.e.c.;2;2;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1
Belgium;GF1001;Social protection;Sickness and disability;23;24;25;25;25;24;24;25;27;27;27;28;31;31;31;32;32;33;35;38
Belgium;GF1002;Social protection;Old age;68;70;71;71;71;71;72;74;80;80;82;85;89;89;89;90;91;92;94;102
Belgium;GF1003;Social protection;Survivors;20;20;20;20;19;19;18;19;20;19;19;19;19;18;18;17;17;16;16;17
Belgium;GF1004;Social protection;Family and children;21;21;21;21;20;20;20;22;24;24;24;25;23;23;23;22;22;22;22;24
Belgium;GF1005;Social protection;Unemployment;23;25;26;26;25;24;23;22;26;25;24;24;24;22;20;18;16;15;13;31
Belgium;GF1006;Social protection;Housing;0;0;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2
Belgium;GF1007;Social protection;Social exclusion n.e.c.;8;8;8;8;8;9;9;9;10;10;11;11;10;10;10;11;11;11;10;12
Belgium;GF1008;Social protection;R&D Social protection;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;GF1009;Social protection;Social protection n.e.c.;2;2;2;2;2;2;2;2;3;2;2;2;3;2;1;2;2;1;1;2
Bulgaria;GF0101;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;37;43;7;22;35;26;29;37;56;26;26;23;26;26;25;24;21;28;19;26
Bulgaria;GF0102;General public services;Foreign economic aid;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0
Bulgaria;GF0103;General public services;General services;1;1;7;8;7;2;3;1;4;2;2;1;1;1;0;0;0;0;1;1
Bulgaria;GF0104;General public services;Basic research;3;3;3;3;3;3;2;3;3;3;2;2;2;3;3;2;2;2;2;3
Bulgaria;GF0105;General public services;R&D General public services;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!
Bulgaria;GF0106;General public services;General public services n.e.c.;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Bulgaria;GF0107;General public services;Public debt transactions;42;22;22;18;16;13;11;8;7;7;7;8;8;9;9;9;8;7;6;5
Bulgaria;GF0108;General public services;Transfers of a general character between different levels of government;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;0;#VALEUR!;0;0;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!
Bulgaria;GF0201;Defence;Military defence;24;26;25;17;20;15;14;12;12;16;11;10;12;12;12;11;10;11;11;14
Bulgaria;GF0202;Defence;Civil defence;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;0;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;1;1;0;0;0;0;1
Bulgaria;GF0203;Defence;Foreign military aid;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;1;0;0;0;0;0;0;0;0;0
Bulgaria;GF0204;Defence;R&D Defence;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!
Bulgaria;GF0205;Defence;Defence n.e.c.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bulgaria;GF0301;Public order and safety;Police services;19;16;18;17;15;16;16;15;14;13;12;11;13;14;13;11;12;12;13;14
Bulgaria;GF0302;Public order and safety;Fire-protection services;3;3;2;3;4;2;2;3;4;2;3;3;4;4;4;3;3;3;3;2
Bulgaria;GF0303;Public order and safety;Law courts;3;4;5;5;6;6;7;7;7;5;6;6;6;7;7;6;6;6;7;7
Bulgaria;GF0304;Public order and safety;Prisons;1;2;2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2
Bulgaria;GF0305;Public order and safety;R&D Public order and safety;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;1;#VALEUR!;0;0;0;0;0;0;0;0;0;0;0;0
Bulgaria;GF0306;Public order and safety;Public order and safety n.e.c.;0;0;0;0;0;0;0;0;2;3;2;1;1;2;2;2;2;2;2;2
Bulgaria;GF0401;Economic affairs;General economic, commercial and labour affairs;10;7;21;17;10;9;9;10;15;5;5;8;11;41;7;3;7;7;5;20
Bulgaria;GF0402;Economic affairs;Agriculture, forestry, fishing and hunting;7;8;7;10;9;8;7;15;7;8;6;9;9;9;10;5;6;9;7;9
Bulgaria;GF0403;Economic affairs;Fuel and energy;3;1;0;1;0;0;1;1;0;2;0;0;1;0;4;4;6;15;18;17
Bulgaria;GF0404;Economic affairs;Mining, manufacturing and construction;2;1;1;0;1;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0
Bulgaria;GF0405;Economic affairs;Transport;24;19;23;22;24;25;33;34;19;34;31;34;33;34;39;24;20;34;34;38
Bulgaria;GF0406;Economic affairs;Communication;0;4;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;1;1
Bulgaria;GF0407;Economic affairs;Other industries;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Bulgaria;GF0408;Economic affairs;R&D Economic affairs;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;1;1;1;0;0;0
Bulgaria;GF0409;Economic affairs;Economic affairs n.e.c.;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;0;0;0
Bulgaria;GF0501;Environmental protection;Waste management;0;5;4;5;5;7;5;5;6;5;6;5;6;6;7;6;6;6;6;6
Bulgaria;GF0502;Environmental protection;Waste water management;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;0;0;0;0;0;1;0;0;0;0;0;0;0
Bulgaria;GF0503;Environmental protection;Pollution abatement;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!
Bulgaria;GF0504;Environmental protection;Protection of biodiversity and landscape;1;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;0;0;0;0;0;0
Bulgaria;GF0505;Environmental protection;R&D Environmental protection;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!
Bulgaria;GF0506;Environmental protection;Environmental protection n.e.c.;11;2;5;3;2;5;7;2;5;1;1;1;2;1;1;1;1;1;1;1
Bulgaria;GF0601;Housing and community amenities;Housing development;0;0;1;0;1;1;3;3;1;1;6;3;3;8;11;4;3;5;6;3
Bulgaria;GF0602;Housing and community amenities;Community development;0;1;1;1;1;1;1;1;4;4;1;1;1;1;1;1;1;1;1;1
Bulgaria;GF0603;Housing and community amenities;Water supply;2;1;1;1;1;1;2;4;4;2;2;2;6;2;3;1;2;1;1;1
Bulgaria;GF0604;Housing and community amenities;Street lighting;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bulgaria;GF0605;Housing and community amenities;R&D Housing and community amenities;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!;#VALEUR!
Bulgaria;GF0606;Housing and community amenities;Housing and community amenities n.e.c.;1;1;2;2;3;2;6;5;3;2;2;3;3;4;5;12;8;2;2;2
Bulgaria;GF0701;Health;Medical products, appliances and equipment;13;5;7;2;5;5;4;4;4;5;6;6;8;7;6;7;7;7;7;8
Bulgaria;GF0702;Health;Outpatient services;11;10;13;13;12;8;11;12;10;11;11;8;8;6;5;6;6;5;6;7
Bulgaria;GF0703;Health;Hospital services;8;27;31;39;28;22;21;21;24;27;20;26;26;39;39;35;32;35;30;38
Bulgaria;GF0704;Health;Public health services;2;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1
