unit;sector;na_item;geo;TIME_PERIOD;OBS_VALUE
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2013;-305.8
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2014;-2315.0
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2015;-851.4
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2016;155.1
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2017;852.6
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2018;970.5
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2019;1312.0
Million euro;General government;Net lending (+) /net borrowing (-);Bulgaria;2020;-2348.4
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2001;-239.5
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2002;-490.1
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2003;-759.6
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2004;-513.2
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2005;-325.8
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2006;-166.9
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2007;566.1
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2008;164.6
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2009;-1014.7
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2010;-911.6
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2011;-1122.1
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2012;-1120.3
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2013;-1007.7
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2014;-1538.6
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2015;-163.5
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2016;48.6
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2017;384.6
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2018;-784.9
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2019;293.4
Million euro;General government;Net lending (+) /net borrowing (-);Cyprus;2020;-1262.8
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2001;-4360.3
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2002;-5548.4
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2003;-6080.3
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2004;-2287.9
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2005;-3339.0
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2006;-2678.7
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2007;-896.3
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2008;-3183.3
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2009;-8094.6
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2010;-6556.9
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2011;-4461.0
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2012;-6336.2
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2013;-2047.3
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2014;-3275.6
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2015;-1091.6
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2016;1263.0
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2017;2914.7
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2018;1882.9
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2019;650.9
Million euro;General government;Net lending (+) /net borrowing (-);Czechia;2020;-12444.4
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2001;-65729.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2002;-85177.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2003;-81921.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2004;-75436.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2005;-75959.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2006;-39429.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2007;6521.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2008;-2963.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2009;-77053.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2010;-112286.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2011;-23741.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2012;256.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2013;1124.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2014;16966.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2015;29068.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2016;36374.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2017;43652.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2018;65623.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2019;53173.0
Million euro;General government;Net lending (+) /net borrowing (-);Germany (until 1990 former territory of the FRG);2020;-147554.0
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2001;2099.1
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2002;-29.2
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2003;-257.4
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2004;4196.6
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2005;10546.0
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2006;11247.5
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2007;11716.9
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2008;7668.6
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2009;-6471.5
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2010;-6590.4
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2011;-5095.8
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2012;-8885.9
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2013;-3197.3
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2014;3041.4
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2015;-3187.7
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2016;370.1
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2017;5266.0
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2018;2298.9
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2019;12788.4
Million euro;General government;Net lending (+) /net borrowing (-);Denmark;2020;669.9
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2001;-143733.0
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2002;-202633.7
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2003;-241562.0
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2004;-233490.5
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2005;-219230.2
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2006;-134963.5
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2007;-60678.6
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2008;-207877.6
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2009;-578782.6
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2010;-598692.1
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2011;-416027.5
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2012;-374000.6
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2013;-305140.4
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2014;-253065.0
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2015;-209067.1
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2016;-158961.2
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2017;-105016.3
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2018;-49795.4
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2019;-76250.4
Million euro;General government;Net lending (+) /net borrowing (-);Euro area - 19 countries  (2015-2022);2020;-807174.8
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2001;13.9
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2002;32.7
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2003;157.0
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2004;234.1
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2005;127.7
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2006;392.2
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2007;449.4
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2008;-440.0
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2009;-309.5
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2010;28.0
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2011;181.0
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2012;-51.5
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2013;34.2
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2014;141.9
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2015;23.4
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2016;-89.6
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2017;-113.3
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2018;-143.4
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2019;33.5
Million euro;General government;Net lending (+) /net borrowing (-);Estonia;2020;-1502.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2001;-8319.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2002;-9847.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2003;-14009.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2004;-17101.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2005;-12329.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2006;-12954.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2007;-15607.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2008;-24625.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2009;-36141.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2010;-25544.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2011;-21364.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2012;-17140.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2013;-24057.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2014;-6539.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2015;-10326.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2016;322.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2017;1013.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2018;1675.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2019;2103.0
Million euro;General government;Net lending (+) /net borrowing (-);Greece;2020;-16430.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2001;-3189.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2002;-2374.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2003;-3009.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2004;-941.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2005;11421.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2006;21322.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2007;20287.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2008;-50731.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2009;-120576.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2010;-102193.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2011;-103606.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2012;-119100.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2013;-76838.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2014;-63097.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2015;-57235.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2016;-47893.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2017;-36228.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2018;-31224.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2019;-38116.0
Million euro;General government;Net lending (+) /net borrowing (-);Spain;2020;-113199.0
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2001;-157314.7
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2002;-231111.9
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2003;-270705.6
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2004;-249022.8
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2005;-224483.3
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2006;-139692.5
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2007;-53615.9
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2008;-222460.7
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2009;-640304.6
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2010;-657004.5
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2011;-463124.5
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2012;-419244.3
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2013;-342141.7
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2014;-284275.0
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2015;-230068.6
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2016;-169549.0
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2017;-103709.6
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2018;-50914.2
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2019;-75329.6
Million euro;General government;Net lending (+) /net borrowing (-);European Union - 27 countries (from 2020);2020;-905486.5
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2001;7197.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2002;6024.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2003;3678.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2004;3508.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2005;4367.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2006;6866.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2007;9556.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2008;8114.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2009;-4515.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2010;-4767.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2011;-2018.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2012;-4334.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2013;-5159.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2014;-6181.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2015;-5127.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2016;-3694.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2017;-1480.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2018;-1995.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2019;-2275.0
Million euro;General government;Net lending (+) /net borrowing (-);Finland;2020;-13155.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2001;-21216.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2002;-50180.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2003;-65480.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2004;-61184.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2005;-59256.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2006;-45163.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2007;-51180.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2008;-65026.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2009;-138934.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2010;-137410.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2011;-106104.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2012;-104043.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2013;-86468.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2014;-83941.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2015;-79697.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2016;-81261.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2017;-67962.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2018;-54095.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2019;-74705.0
Million euro;General government;Net lending (+) /net borrowing (-);France;2020;-207733.0
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2001;-1182.5
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2002;-1320.1
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2003;-1425.3
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2004;-1937.6
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2005;-1116.9
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2006;-755.1
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2007;-942.3
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2008;-1131.1
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2009;-3205.8
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2010;-3053.4
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2011;-3477.6
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2012;-2456.4
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2013;-2463.0
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2014;-2273.4
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2015;-1582.0
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2016;-490.5
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2017;313.7
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2018;-27.8
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2019;120.9
Million euro;General government;Net lending (+) /net borrowing (-);Croatia;2020;-3686.1
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2001;-2400.2
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2002;-6312.9
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2003;-5418.0
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2004;-5528.4
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2005;-7085.8
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2006;-8530.7
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2007;-5205.7
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2008;-4098.3
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2009;-4493.5
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2010;-4416.8
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2011;-5323.5
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2012;-2330.1
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2013;-2655.7
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2014;-2948.7
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2015;-2260.3
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2016;-2088.9
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2017;-3123.7
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2018;-2874.0
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2019;-2976.3
Million euro;General government;Net lending (+) /net borrowing (-);Hungary;2020;-10386.9
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2001;1171.2
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2002;-706.3
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2003;503.8
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2004;2028.6
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2005;2674.5
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2006;5132.1
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2007;527.8
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2008;-13167.0
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2009;-23517.2
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2010;-53764.1
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2011;-23320.5
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2012;-14863.1
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2013;-11475.5
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2014;-7047.3
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2015;-5357.6
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2016;-2058.2
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2017;-848.0
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2018;446.1
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2019;1694.3
Million euro;General government;Net lending (+) /net borrowing (-);Ireland;2020;-18762.5
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2001;-41606.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2002;-38743.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2003;-44876.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2004;-50524.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2005;-60978.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2006;-56154.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2007;-21643.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2008;-41989.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2009;-80772.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2010;-68314.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2011;-59240.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2012;-47844.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2013;-46032.0
Million euro;General government;Net lending (+) /net borrowing (-);Italy;2014;-48080.0
