geo;TIME_PERIOD;OBS_VALUE
Luxembourg;2003;26227.3
Luxembourg;2004;28189.4
Luxembourg;2005;30281.0
Luxembourg;2006;34175.0
Luxembourg;2007;37641.9
Luxembourg;2008;40009.6
Luxembourg;2009;39050.7
Luxembourg;2010;42402.7
Luxembourg;2011;44323.5
Luxembourg;2012;46526.2
Luxembourg;2013;49094.5
Luxembourg;2014;51791.3
Luxembourg;2015;54142.3
Luxembourg;2016;56208.1
Luxembourg;2017;58168.8
Luxembourg;2018;60121.2
Luxembourg;2019;62373.6
Luxembourg;2020;64781.0
Luxembourg;2021;72295.0
Latvia;2001;9374.4
Latvia;2002;10168.7
Latvia;2003;10499.6
Latvia;2004;11724.0
Latvia;2005;13791.9
Latvia;2006;17363.1
Latvia;2007;22791.5
Latvia;2008;24531.5
Latvia;2009;18922.0
Latvia;2010;17937.5
Latvia;2011;19666.0
Latvia;2012;22097.5
Latvia;2013;22791.3
Latvia;2014;23625.8
Latvia;2015;24572.1
Latvia;2016;25371.3
Latvia;2017;26984.4
Latvia;2018;29153.6
Latvia;2019;30678.6
Latvia;2020;30294.0
Latvia;2021;33587.6
Montenegro;2006;2169.6
Montenegro;2007;2689.1
Montenegro;2008;3103.3
Montenegro;2009;2993.9
Montenegro;2010;3125.1
Montenegro;2011;3264.8
Montenegro;2012;3181.5
Montenegro;2013;3362.5
Montenegro;2014;3457.9
Montenegro;2015;3654.5
Montenegro;2016;3954.2
Montenegro;2017;4299.1
Montenegro;2018;4663.1
Montenegro;2019;4950.7
Montenegro;2020;4185.6
Montenegro;2021;4955.1
North Macedonia;2001;4143.5
North Macedonia;2002;4240.5
North Macedonia;2003;4385.9
North Macedonia;2004;4577.7
North Macedonia;2005;5032.0
North Macedonia;2006;5472.2
North Macedonia;2007;6094.5
North Macedonia;2008;6772.1
North Macedonia;2009;6766.5
North Macedonia;2010;7108.3
North Macedonia;2011;7544.2
North Macedonia;2012;7584.8
North Macedonia;2013;8149.6
North Macedonia;2014;8562.0
North Macedonia;2015;9072.3
North Macedonia;2016;9656.5
North Macedonia;2017;10038.3
North Macedonia;2018;10744.0
North Macedonia;2019;11262.0
North Macedonia;2020;10851.7
North Macedonia;2021;11688.2
Malta;2001;4565.5
Malta;2002;4740.9
Malta;2003;4823.5
Malta;2004;4910.4
Malta;2005;5152.1
Malta;2006;5403.0
Malta;2007;5790.3
Malta;2008;6206.0
Malta;2009;6259.6
Malta;2010;6815.8
Malta;2011;6924.6
Malta;2012;7364.5
Malta;2013;7944.3
Malta;2014;8751.1
Malta;2015;9996.7
Malta;2016;10541.1
Malta;2017;11936.6
Malta;2018;12953.9
Malta;2019;14186.4
Malta;2020;13173.0
Malta;2021;15001.9
Netherlands;2001;481881.0
Netherlands;2002;501137.0
Netherlands;2003;512810.0
Netherlands;2004;529286.0
Netherlands;2005;550883.0
Netherlands;2006;584546.0
Netherlands;2007;619170.0
Netherlands;2008;647198.0
Netherlands;2009;624842.0
Netherlands;2010;639187.0
Netherlands;2011;650359.0
Netherlands;2012;652966.0
Netherlands;2013;660463.0
Netherlands;2014;671560.0
Netherlands;2015;690008.0
Netherlands;2016;708337.0
Netherlands;2017;738146.0
Netherlands;2018;773987.0
Netherlands;2019;813055.0
Netherlands;2020;796530.0
Netherlands;2021;856356.0
Norway;2001;194660.8
Norway;2002;208313.8
Norway;2003;202928.2
Norway;2004;213642.4
Norway;2005;249342.9
Norway;2006;276477.7
Norway;2007;294414.5
Norway;2008;318851.0
Norway;2009;279533.4
Norway;2010;325493.9
Norway;2011;360552.4
Norway;2012;399069.2
Norway;2013;395856.8
Norway;2014;378456.4
Norway;2015;349756.7
Norway;2016;335396.5
Norway;2017;356288.5
Norway;2018;372657.6
Norway;2019;365130.5
Norway;2020;322823.8
Norway;2021;414394.9
Poland;2001;212834.1
Poland;2002;210560.0
Poland;2003;192552.1
Poland;2004;206126.0
Poland;2005;246216.8
Poland;2006;274501.7
Poland;2007;313848.3
Poland;2008;366040.5
Poland;2009;317040.6
Poland;2010;359067.8
Poland;2011;377042.4
Poland;2012;385389.4
Poland;2013;388356.4
Poland;2014;406412.5
Poland;2015;429834.6
Poland;2016;424735.3
Poland;2017;465772.6
Poland;2018;499004.1
Poland;2019;532504.7
Poland;2020;526147.2
Poland;2021;574771.8
Portugal;2001;135775.0
Portugal;2002;142554.3
Portugal;2003;146067.9
Portugal;2004;152248.4
Portugal;2005;158552.7
Portugal;2006;166260.5
Portugal;2007;175483.4
Portugal;2008;179102.8
Portugal;2009;175416.4
Portugal;2010;179610.8
Portugal;2011;176096.2
Portugal;2012;168295.6
Portugal;2013;170492.3
Portugal;2014;173053.7
Portugal;2015;179713.2
Portugal;2016;186489.8
Portugal;2017;195947.2
Portugal;2018;205184.1
Portugal;2019;214374.6
Portugal;2020;200518.9
Portugal;2021;214741.0
Romania;2001;45143.6
Romania;2002;48695.7
Romania;2003;51108.5
Romania;2004;60402.0
Romania;2005;79223.9
Romania;2006;97215.6
Romania;2007;127632.0
Romania;2008;146590.6
Romania;2009;125213.9
Romania;2010;128278.9
Romania;2011;138520.7
Romania;2012;139319.8
Romania;2013;142928.9
Romania;2014;150522.4
Romania;2015;160287.8
Romania;2016;167494.3
Romania;2017;186399.0
Romania;2018;206071.9
Romania;2019;224178.6
Romania;2020;220486.6
Romania;2021;241268.4
Serbia;2001;14584.5
Serbia;2002;18165.8
Serbia;2003;19882.0
Serbia;2004;20995.0
Serbia;2005;22253.8
Serbia;2006;25930.7
Serbia;2007;31557.9
Serbia;2008;35712.5
Serbia;2009;32486.2
Serbia;2010;31545.8
Serbia;2011;35431.7
Serbia;2012;33679.3
Serbia;2013;36426.7
Serbia;2014;35467.5
Serbia;2015;35740.2
Serbia;2016;36779.3
Serbia;2017;39235.3
Serbia;2018;42892.2
Serbia;2019;46005.4
Serbia;2020;46815.3
Serbia;2021;53329.3
Sweden;2001;270524.5
Sweden;2002;283627.1
Sweden;2003;296305.5
Sweden;2004;310182.0
Sweden;2005;315774.8
Sweden;2006;337317.2
Sweden;2007;358945.1
Sweden;2008;354881.1
Sweden;2009;314637.5
Sweden;2010;374695.2
Sweden;2011;412844.7
Sweden;2012;430037.1
Sweden;2013;441850.7
Sweden;2014;438833.9
Sweden;2015;455494.7
Sweden;2016;466266.5
Sweden;2017;480025.5
Sweden;2018;470673.1
Sweden;2019;476869.5
Sweden;2020;480556.4
Sweden;2021;538317.6
Slovenia;2001;23249.1
Slovenia;2002;24972.4
Slovenia;2003;26247.5
Slovenia;2004;27692.0
Slovenia;2005;29122.3
Slovenia;2006;31476.1
Slovenia;2007;35073.5
Slovenia;2008;37925.7
Slovenia;2009;36254.9
Slovenia;2010;36363.9
Slovenia;2011;37058.6
Slovenia;2012;36253.3
Slovenia;2013;36454.3
Slovenia;2014;37634.3
Slovenia;2015;38852.6
Slovenia;2016;40443.2
Slovenia;2017;43011.3
Slovenia;2018;45876.3
Slovenia;2019;48533.1
Slovenia;2020;47020.6
Slovenia;2021;52208.1
Slovakia;2001;23909.8
Slovakia;2002;26340.7
Slovakia;2003;30119.1
Slovakia;2004;34757.7
Slovakia;2005;39403.4
Slovakia;2006;45602.0
Slovakia;2007;56339.3
Slovakia;2008;66098.1
Slovakia;2009;64095.5
Slovakia;2010;68764.9
Slovakia;2011;71785.8
Slovakia;2012;73649.3
Slovakia;2013;74492.8
Slovakia;2014;76354.5
Slovakia;2015;80126.0
Slovakia;2016;81265.2
Slovakia;2017;84669.9
Slovakia;2018;89874.7
Slovakia;2019;94437.5
Slovakia;2020;93413.8
Slovakia;2021;98523.0
Total general government revenue;2001;224298.1
Total general government revenue;2002;251517.4
Total general government revenue;2003;278583.9
Total general government revenue;2004;327979.7
Total general government revenue;2005;405626.3
Total general government revenue;2006;439887.8
Total general government revenue;2007;496901.4
Total general government revenue;2008;525994.8
Total general government revenue;2009;465245.5
Total general government revenue;2010;584855.7
Total general government revenue;2011;600961.4
Total general government revenue;2012;683587.3
Total general government revenue;2013;719726.6
Total general government revenue;2014;707000.8
Total general government revenue;2015;777042.3
Total general government revenue;2016;785618.9
Total general government revenue;2017;760497.1
Total general government revenue;2018;658544.4
Total general government revenue;2019;678180.0
Total general government revenue;2020;626742.2
Total general government revenue;2021;689546.5
United Kingdom;2001;1830567.5
United Kingdom;2002;1888699.6
United Kingdom;2003;1815326.8
United Kingdom;2004;1941265.1
United Kingdom;2005;2037200.9
United Kingdom;2006;2157333.5
United Kingdom;2007;2259235.2
United Kingdom;2008;1995854.5
United Kingdom;2009;1738066.5
United Kingdom;2010;1872175.5
United Kingdom;2011;1912869.3
United Kingdom;2012;2111028.9
United Kingdom;2013;2096338.0
United Kingdom;2014;2311080.2
United Kingdom;2015;2644716.5
United Kingdom;2016;2434119.2
United Kingdom;2017;2359789.9
United Kingdom;2018;2420897.2
United Kingdom;2019;2526615.2
Kosovo (under United Nations Security Council Resolution 1244/99);2008;3537.6
Kosovo (under United Nations Security Council Resolution 1244/99);2009;3610.4
Kosovo (under United Nations Security Council Resolution 1244/99);2010;4031.0
Kosovo (under United Nations Security Council Resolution 1244/99);2011;4555.9
Kosovo (under United Nations Security Council Resolution 1244/99);2012;4797.3
Kosovo (under United Nations Security Council Resolution 1244/99);2013;5071.3
Kosovo (under United Nations Security Council Resolution 1244/99);2014;5325.1
Kosovo (under United Nations Security Council Resolution 1244/99);2015;5674.4
Kosovo (under United Nations Security Council Resolution 1244/99);2016;6037.3
Kosovo (under United Nations Security Council Resolution 1244/99);2017;6356.5
Kosovo (under United Nations Security Council Resolution 1244/99);2018;6671.5
Kosovo (under United Nations Security Council Resolution 1244/99);2019;7056.2
Kosovo (under United Nations Security Council Resolution 1244/99);2020;6771.6
Kosovo (under United Nations Security Council Resolution 1244/99);2021;7957.9
